index	level before	level after	step	dwell before	dwell after	predicted error	measured error
1199.0	46.17911027524813	46.029244968415945	-0.1498653068321829	5.0	8.0	0.761006443885952	0.48839499943076387
1207.0	46.029244968415945	47.42245443079169	1.3932094623757436	8.0	2.0	1.0553260593805034	0.4380317013300885
1209.0	47.42245443079169	49.67341786728877	2.2509634364970807	2.0	10.0	1.0340041430977336	0.23237375846531175
1219.0	49.67341786728877	46.273254648264974	-3.4001632190237956	10.0	6.0	0.6893360953984891	0.7454165579502832
1225.0	46.273254648264974	47.447491210113405	1.1742365618484314	6.0	4.0	0.8616701192481113	0.7684101798148506
1229.0	47.447491210113405	48.84698319104463	1.3994919809312236	4.0	10.0	0.7897337091072191	0.36715618013905144
1239.0	48.84698319104463	46.56406463269533	-2.2829185583493015	10.0	10.0	0.5969825703606648	0.5371613247020346
1249.0	46.56406463269533	48.63417475212552	2.07011011943019	10.0	12.0	0.571567295721356	0.5138941496467634
1261.0	48.63417475212552	46.59787074404031	-2.03630400808521	12.0	8.0	0.6092927844661606	0.39262036891720703
1269.0	46.59787074404031	48.919183314383105	2.3213125703427977	8.0	9.0	0.648641701426551	0.7136589519699212
1278.0	48.919183314383105	47.042940782014774	-1.8762425323683303	9.0	9.0	0.629274881920476	0.7971766607715798
1287.0	47.042940782014774	48.51064994745012	1.4677091654353447	9.0	9.0	0.629274881920476	0.4781061918847042
1296.0	48.51064994745012	50.230978375037026	1.7203284275869066	9.0	6.0	0.7035507062536689	0.45041319423483567
1302.0	50.230978375037026	51.95235306083091	1.721374685793883	6.0	17.0	0.6338850159474787	0.4893884785690575
1319.0	51.95235306083091	51.03014035282041	-0.9222127080104983	17.0	10.0	0.5319907427182607	0.3414541302105722
1329.0	51.03014035282041	52.843721323744305	1.8135809709238941	10.0	10.0	0.5969825703606648	0.5567745131555757
1339.0	52.843721323744305	50.8176936519586	-2.0260276717857053	10.0	10.0	0.5969825703606648	0.6437075595967594
1349.0	50.8176936519586	53.2312931175231	2.413599465564502	10.0	9.0	0.6133412860432824	0.5366991127449423
1358.0	53.2312931175231	52.07703044543187	-1.1542626720912281	9.0	7.0	0.6727231457854425	0.6288333808058192
1365.0	52.07703044543187	49.5076352101549	-2.5693952352769713	7.0	4.0	0.8366888483842007	0.5866717677636029
1369.0	49.5076352101549	53.690250075712484	4.182614865557582	4.0	10.0	0.7897337091072191	0.6017100464320554
1379.0	53.690250075712484	50.61704809152288	-3.073201984189602	10.0	10.0	0.5969825703606648	0.6274176084328349
1389.0	50.61704809152288	53.17107965200403	2.5540315604811497	10.0	6.0	0.6893360953984891	0.7012977610146506
1395.0	53.17107965200403	51.41610033815577	-1.75497931384826	6.0	3.0	0.943912322880714	0.766714701229995
1398.0	51.41610033815577	54.77841550592143	3.362315167765658	3.0	11.0	0.8694681978258899	0.49103732416172746
1409.0	54.77841550592143	57.04000213673141	2.2615866308099797	11.0	7.0	0.6454127546570525	0.5287862529852605
1416.0	57.04000213673141	55.919376143517354	-1.1206259932140554	7.0	9.0	0.6727231457854425	0.5226882317841766
1425.0	55.919376143517354	54.371087633814454	-1.5482885097028998	9.0	4.0	0.8021712255815757	0.4167964918221103
1429.0	54.371087633814454	57.455180963274735	3.0840933294602806	4.0	5.0	0.8954738555409972	0.4218094814894583
1434.0	57.455180963274735	56.41475406522294	-1.0404268980517983	5.0	5.0	0.8442608475044026	0.32856101921133996
1439.0	56.41475406522294	55.05697967040142	-1.3577743948215186	5.0	10.0	0.7311513413593926	0.3449524034794526
1449.0	55.05697967040142	57.2281134399831	2.1711337695816795	10.0	10.0	0.5969825703606648	0.4758612873273096
1459.0	57.2281134399831	54.72311273002944	-2.5050007099536558	10.0	8.0	0.6331956356283021	0.6335568996693878
1467.0	54.72311273002944	57.0962185154217	2.373105785392255	8.0	10.0	0.6331956356283021	0.704269471762655
1477.0	57.0962185154217	55.275729278079545	-1.8204892373421515	10.0	10.0	0.5969825703606648	0.5801513806951778
1487.0	55.275729278079545	57.17029696266033	1.8945676845807853	10.0	10.0	0.5969825703606648	0.6684835006387545
1497.0	57.17029696266033	58.782341618513826	1.612044655853495	10.0	12.0	0.571567295721356	0.5592807397536769
1509.0	58.782341618513826	60.87769065667054	2.095349038156712	12.0	8.0	0.6092927844661606	0.3622762843956807
1517.0	60.87769065667054	62.34086770418975	1.4631770475192099	8.0	2.0	1.0553260593805034	0.3738867597872746
1519.0	62.34086770418975	58.88864999581047	-3.4522177083792798	2.0	8.0	1.0553260593805034	0.39213262336056
1527.0	58.88864999581047	61.12357746159574	2.234927465785269	8.0	10.0	0.6331956356283021	0.49884507555005375
1537.0	61.12357746159574	59.42667545508274	-1.6969020065129996	10.0	14.0	0.552698462853785	0.5540231836118551
1551.0	59.42667545508274	61.009283653689785	1.5826081986070477	14.0	8.0	0.5916283584356314	0.5241001973682307
1559.0	61.009283653689785	58.74345685564205	-2.2658267980477333	8.0	10.0	0.6331956356283021	0.4844069836806751
1569.0	58.74345685564205	62.272141025338705	3.5286841696966533	10.0	4.0	0.7897337091072191	0.5953545916136794
1573.0	62.272141025338705	60.456434075755965	-1.81570694958274	4.0	6.0	0.8616701192481113	0.9413069851019877
1579.0	60.456434075755965	58.163865414095234	-2.292568661660731	6.0	6.0	0.7707011843276508	0.8128671638423648
1585.0	58.163865414095234	60.00109957606727	1.8372341619720345	6.0	10.0	0.6893360953984891	0.6009004485016332
1595.0	60.00109957606727	61.98866012004809	1.9875605439808197	10.0	6.0	0.6893360953984891	0.8813425099135744
1601.0	61.98866012004809	63.02201107487358	1.0333509548254938	6.0	5.0	0.8083182214180551	0.815980293713032
1606.0	63.02201107487358	64.49461722844188	1.4726061535683002	5.0	18.0	0.6748221310600545	0.4498227469112888
1624.0	64.49461722844188	62.7273757620994	-1.7672414663424831	18.0	6.0	0.629274881920476	0.5862950070315294
1630.0	62.7273757620994	65.48810325225901	2.76072749015961	6.0	8.0	0.7209249448337449	0.6633754006290107
1638.0	65.48810325225901	62.99435415743394	-2.49374909482507	8.0	11.0	0.6202719160401136	0.6579789369902533
1649.0	62.99435415743394	65.2187756633141	2.2244215058801657	11.0	10.0	0.5832569983838775	0.5102327634251752
1659.0	65.2187756633141	62.85672933175525	-2.362046331558858	10.0	10.0	0.5969825703606648	0.4268824681864619
1669.0	62.85672933175525	64.54582962958939	1.6891002978341447	10.0	10.0	0.5969825703606648	0.47208027818588466
1679.0	64.54582962958939	62.60109870610732	-1.9447309234820693	10.0	10.0	0.5969825703606648	0.532602828624184
1689.0	62.60109870610732	64.8394497389983	2.238351032890975	10.0	10.0	0.5969825703606648	0.5662171459471507
1699.0	64.8394497389983	67.54031352866303	2.700863789664737	10.0	10.0	0.5969825703606648	0.5255321454889047
1709.0	67.54031352866303	69.20887898087557	1.6685654522125333	10.0	10.0	0.5969825703606648	0.5666209497418809
1719.0	69.20887898087557	66.85538672013269	-2.3534922607428825	10.0	10.0	0.5969825703606648	0.547013026645316
1729.0	66.85538672013269	69.30395319581422	2.448566475681531	10.0	11.0	0.5832569983838775	0.4751237565266509
1740.0	69.30395319581422	66.79207807712672	-2.511875118687499	11.0	7.0	0.6454127546570525	0.6566567452795261
1747.0	66.79207807712672	68.61800201230783	1.825923935181109	7.0	2.0	1.0702959710535738	1.8509705973873671
1749.0	68.61800201230783	69.12527785325567	0.5072758409478411	2.0	10.0	1.0340041430977336	0.28975989861440843
1759.0	69.12527785325567	66.70625431438	-2.4190235388756633	10.0	10.0	0.5969825703606648	0.4200504601560748
1769.0	66.70625431438	68.78707068563708	2.0808163712570718	10.0	10.0	0.5969825703606648	0.584936953470616
1779.0	68.78707068563708	65.58311583880726	-3.2039548468298165	10.0	6.0	0.6893360953984891	0.8285433102584412
1785.0	65.58311583880726	67.76505227190042	2.1819364330931563	6.0	4.0	0.8616701192481113	1.033761140082537
1789.0	67.76505227190042	69.39675300082516	1.6317007289247414	4.0	8.0	0.8174520505598777	0.5187864193305648
